gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000000003,4991.0320674836,-0.034557915485558,0.251705657206482,-0.137294949462376,0.89079766237951,0.999418696916722,TSPAN6
ENSG00000000419,4723.46216155021,0.276037356756064,0.260632030536276,1.05910757088486,0.289550792413478,0.999418696916722,DPM1
ENSG00000000457,1229.34489629858,0.418421480969927,0.22765935756951,1.83792788241604,0.0660730328719083,0.969912321073893,SCYL3
ENSG00000000460,3575.50945382213,0.197057711617571,0.201961280112072,0.97572025443798,0.329203112235129,0.999418696916722,C1orf112
ENSG00000000938,12.5377236606363,-1.08944298002832,1.47897364332816,-0.736620956663382,0.461352887052097,0.999418696916722,FGR
ENSG00000000971,1391.13470045325,0.489616072782783,0.321293814714726,1.52388888412779,0.127536470712387,0.999418696916722,CFH
ENSG00000001036,20089.6627136016,0.0108372073701395,0.191997685259145,0.0564444688773837,0.954987732357686,0.999418696916722,FUCA2
ENSG00000001084,1646.48590919843,0.421854286541596,0.228859330885685,1.84329074505733,0.065286571684907,0.969912321073893,GCLC
ENSG00000001167,2361.03223754008,-0.178351259075216,0.192264629743531,-0.92763426800408,0.353597315772325,0.999418696916722,NFYA
ENSG00000001460,1513.32144737859,-0.042981917521569,0.256683645423177,-0.16745093927082,0.867015247191292,0.999418696916722,STPG1
ENSG00000001461,3328.16413034518,0.179354034957988,0.238738000893566,0.751258845624444,0.452496891671209,0.999418696916722,NIPAL3
ENSG00000001497,6634.57285507747,-0.0996984657028572,0.171389853095857,-0.581705765551338,0.560764887322532,0.999418696916722,LAS1L
ENSG00000001561,122.617806107182,-0.385619212959958,0.421693270312214,-0.914454273065473,0.360478194875462,0.999418696916722,ENPP4
ENSG00000001617,1426.0769826704,-0.48834881406651,0.26467525167418,-1.8450868034601,0.0650249125567519,0.969912321073893,SEMA3F
ENSG00000001626,3.21044531619464,-4.69557075699276,2.74956357145332,-1.70775129760351,0.0876824993562454,NA,CFTR
